Subclass,Order,Family,Genus,Species,Genus_species,GenusSpaceSpecies,area_sqkm,Endemic_lessthan149246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Hexanchiformes,Chlamydoselachidae,Chlamydoselachus,africana,Chlamydoselachus_africana,Chlamydoselachus africana,199366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Hexanchiformes,Chlamydoselachidae,Chlamydoselachus,anguineus,Chlamydoselachus_anguineus,Chlamydoselachus anguineus,2028893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Hexanchiformes,Hexanchidae,Heptranchias,perlo,Heptranchias_perlo,Heptranchias perlo,10589516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Hexanchiformes,Hexanchidae,Hexanchus,griseus,Hexanchus_griseus,Hexanchus griseus,9871430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Hexanchiformes,Hexanchidae,Hexanchus,nakamurai,Hexanchus_nakamurai,Hexanchus nakamurai,1800574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Hexanchiformes,Hexanchidae,Hexanchus,vitulus,Hexanchus_vitulus,Hexanchus vitulus,467611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Hexanchiformes,Hexanchidae,Notorynchus,cepedianus,Notorynchus_cepedianus,Notorynchus cepedianus,4487898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Echinorhiniformes,Echinorhinidae,Echinorhinus,brucus,Echinorhinus_brucus,Echinorhinus brucus,4527328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Echinorhiniformes,Echinorhinidae,Echinorhinus,cookei,Echinorhinus_cookei,Echinorhinus cookei,973491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Cirrhigaleus,asper,Cirrhigaleus_asper,Cirrhigaleus asper,457281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Cirrhigaleus,australis,Cirrhigaleus_australis,Cirrhigaleus australis,37868,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Cirrhigaleus,barbifer,Cirrhigaleus_barbifer,Cirrhigaleus barbifer,38947,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,acanthias,Squalus_acanthias,Squalus acanthias,5974759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,acutipinnis,Squalus_acutipinnis,Squalus acutipinnis,7081,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,albifrons,Squalus_albifrons,Squalus albifrons,73337,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,albicaudus,Squalus_albicaudus,Squalus albicaudus,11089,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,altipinnis,Squalus_altipinnis,Squalus altipinnis,3282,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,bahiensis,Squalus_bahiensis,Squalus bahiensis,25,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,bassi,Squalus_bassi,Squalus bassi,123719,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,blainville,Squalus_blainville,Squalus blainville,2649615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,boretzi,Squalus_boretzi,Squalus boretzi,2834,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,brevirostris,Squalus_brevirostris,Squalus brevirostris,601951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,bucephalus,Squalus_bucephalus,Squalus bucephalus,11896,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,clarkae,Squalus_clarkae,Squalus clarkae,660813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,chloroculus,Squalus_chloroculus,Squalus chloroculus,85214,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,crassispinus,Squalus_crassispinus,Squalus crassispinus,36897,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,cubensis,Squalus_cubensis,Squalus cubensis,960642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,edmundsi,Squalus_edmundsi,Squalus edmundsi,85337,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,formosus,Squalus_formosus,Squalus formosus,18051,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,grahami,Squalus_grahami,Squalus grahami,84184,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,griffini,Squalus_griffini,Squalus griffini,253380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,hawaiiensis,Squalus_hawaiiensis,Squalus hawaiiensis,2,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,hemipinnis,Squalus_hemipinnis,Squalus hemipinnis,76222,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,hima,Squalus_hima,Squalus hima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,japonicus,Squalus_japonicus,Squalus japonicus,658091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,lalannei,Squalus_lalannei,Squalus lalannei,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,lobularis,Squalus_lobularis,Squalus lobularis,19325,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,longispinnus,Squalus_longispinnus,Squalus longispinnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,mahia,Squalus_mahia,Squalus mahia,82429,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,margaretsmithae,Squalus_margaretsmithae,Squalus margaretsmithae,399929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,megalops,Squalus_megalops,Squalus megalops,905549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,melanurus,Squalus_melanurus,Squalus melanurus,139,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,mitsukurii,Squalus_mitsukurii,Squalus mitsukurii,1423186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,montalbani,Squalus_montalbani,Squalus montalbani,688599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,nasutus,Squalus_nasutus,Squalus nasutus,83678,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,notocaudatus,Squalus_notocaudatus,Squalus notocaudatus,48487,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,quasimodo,Squalus_quasimodo,Squalus quasimodo,45346,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,rancureli,Squalus_rancureli,Squalus rancureli,578,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,raoulensis,Squalus_raoulensis,Squalus raoulensis,439,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,shiraii,Squalus_shiraii,Squalus shiraii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Squalidae,Squalus,suckleyi,Squalus_suckleyi,Squalus suckleyi,3434528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,atromarginatus,Centrophorus_atromarginatus,Centrophorus atromarginatus,66633,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,granulosus,Centrophorus_granulosus,Centrophorus granulosus,2898533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,harrissoni,Centrophorus_harrissoni,Centrophorus harrissoni,25940,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,isodon,Centrophorus_isodon,Centrophorus isodon,35272,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,lesliei,Centrophorus_lesliei,Centrophorus lesliei,3377,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,longipinnis,Centrophorus_longipinnis,Centrophorus longipinnis,13390,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,moluccensis,Centrophorus_moluccensis,Centrophorus moluccensis,439270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,seychellorum,Centrophorus_seychellorum,Centrophorus seychellorum,11,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,squamosus,Centrophorus_squamosus,Centrophorus squamosus,3980579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,tessellatus,Centrophorus_tessellatus,Centrophorus tessellatus,75150,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,uyato,Centrophorus_uyato,Centrophorus uyato,1028242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Centrophorus,westraliensis,Centrophorus_westraliensis,Centrophorus westraliensis,9648,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Deania,calcea,Deania_calcea,Deania calcea,3583275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Deania,profundorum,Deania_profundorum,Deania profundorum,774972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Centrophoridae,Deania,quadrispinosa,Deania_quadrispinosa,Deania quadrispinosa,347473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Aculeola,nigra,Aculeola_nigra,Aculeola nigra,84262,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
