"Genus_species","Order","Family","CFAR","ProportionalGillAverage","AvgTemperature","MaximumBodySize","PrimaryHabitat","IUCNcategory","WaterColumnPosition"
"Aculeola_nigra","Squaliformes","Etmopteridae",0.8,0.0284,10.4184487660726,67,"Deepwater","NT","Benthopelagic"
"Alopias_pelagicus","Lamniformes","Alopiidae",2.123529412,0.0262,22.3798087793732,365,"Pelagic","EN","Pelagic"
"Alopias_superciliosus","Lamniformes","Alopiidae",2.645,0.033,16.8511466530151,484,"Pelagic","VU","Pelagic"
"Alopias_vulpinus","Lamniformes","Alopiidae",2.105263158,0.0294,15.1477254698302,573,"Pelagic","VU","Pelagic"
"Apristurus_albisoma","Carcharhiniformes","Pentanchidae",0.96,0.0258,3.89293181642998,60,"Deepwater","LC","Benthic"
"Apristurus_ampliceps","Carcharhiniformes","Pentanchidae",0.8333333333,0.0192,4.46520793376682,87,"Deepwater","LC","Benthic"
"Apristurus_aphyodes","Carcharhiniformes","Pentanchidae",0.8642857143,0.0182,4.78527694563811,54,"Deepwater","LC","Benthic"
"Apristurus_australis","Carcharhiniformes","Pentanchidae",0.4923076923,0.024,7.05797542507368,83,"Deepwater","LC","Benthic"
"Apristurus_breviventralis","Carcharhiniformes","Pentanchidae",0.615,0.0306,8.69708879573925,48.5,"Deepwater","LC","Benthic"
"Apristurus_brunneus","Carcharhiniformes","Pentanchidae",0.5785714286,0.0312,8.73243587579901,51.4,"Deepwater","DD","Benthopelagic"
"Apristurus_bucephalus","Carcharhiniformes","Pentanchidae",0.9307692308,0.0224,3.98586625357469,67.5,"Deepwater","DD","Benthic"
"Apristurus_canutus","Carcharhiniformes","Pentanchidae",0.605,0.0242,8.11559101506683,46,"Deepwater","LC","Benthic"
"Apristurus_exsanguis","Carcharhiniformes","Pentanchidae",0.4571428571,0.0156,6.86442212344155,91,"Deepwater","LC","Benthic"
"Apristurus_fedorovi","Carcharhiniformes","Pentanchidae",0.3769230769,0.0296,2.96853720872922,68.3,"Deepwater","LC","Benthic"
"Apristurus_garricki","Carcharhiniformes","Pentanchidae",0.981,0.0314,6.42465967805833,85,"Deepwater","LC","Benthic"
