species_fishbase,n.tagged,n.articles
Aetobatus narinari,82,4
Aetomylaeus bovinus,50,2
Alopias pelagicus,27,2
Alopias superciliosus,2,1
Alopias vulpinus,15,2
Bathytoshia brevicaudata,23,2
Bathytoshia lata,7,1
Callorhinchus milii,35,1
Carcharhinus acronotus,63,2
Carcharhinus albimarginatus,472,13
Carcharhinus amblyrhynchos,1432,33
Carcharhinus amboinensis,181,6
Carcharhinus brachyurus,56,1
Carcharhinus cautus,12,1
Carcharhinus coatesi,1,1
Carcharhinus falciformis,120,7
Carcharhinus fitzroyensis,24,2
Carcharhinus galapagensis,46,4
Carcharhinus isodon,61,1
Carcharhinus leucas,2017,54
Carcharhinus limbatus,665,13
Carcharhinus melanopterus,579,19
Carcharhinus obscurus,324,8
Carcharhinus perezii,280,10
Carcharhinus plumbeus,251,10
Carcharhinus sorrah,140,7
Carcharhinus tilstoni,38,3
Carcharias taurus,1273,16
Carcharodon carcharias,2866,34
Centrophorus zeehaani,71,1
Cephaloscyllium laticeps,68,2
Cetorhinus maximus,35,1
Dasyatis chrysonota,27,1
Dasyatis pastinaca,50,2
Dipturus intermedius,62,2
Furgaleus macki,40,1
Galeocerdo cuvier,603,23
Galeorhinus galeus,75,3
Ginglymostoma cirratum,479,14
Ginglymostoma unami,13,1
Glaucostegus typus,51,4
Glyphis glyphis,116,3
Gymnura natalensis,66,2
Hemigaleus australiensis,6,1
Heterodontus francisci,40,2
Heterodontus portusjacksoni,202,7
Hexanchus griseus,96,4
Himantura uarnak,12,2
Hydrolagus colliei,20,1
Hypanus americanus,68,6
Hypanus sabinus,85,2
Isurus oxyrinchus,10,2
Lamna ditropis,4,1
Leucoraja ocellata,58,1
Megachasma pelagios,1,1
Mobula alfredi,434,15
Mobula birostris,107,2
Mobula munkiana,7,1
Mobula tarapacana,28,1
Mustelus antarcticus,143,3
Mustelus californicus,52,2
Mustelus canis,31,2
Mustelus henlei,6,1
Mustelus lenticulatus,15,1
Mustelus mustelus,48,2
Myliobatis californica,17,2
Myliobatis tenuicaudatus,44,1
Narke japonica,2,1
Nasolamia velox,1,1
Nebrius ferrugineus,6,1
Negaprion acutidens,142,9
Negaprion brevirostris,556,20
Notorynchus cepedianus,224,9
Orectolobus halei,7,1
Orectolobus maculatus,50,2
Pastinachus ater,42,4
Pastinachus sephen,20,1
Pateobatis fai,19,2
Poroderma africanum,8,1
Pristis clavata,17,1
Pristis microdon,7,1
Pristis pectinata,232,10
Pristis pristis,42,2
Pristis zijsron,134,2
Pseudobatos productus,41,3
Raja brachyura,35,3
Raja clavata,117,4
Raja microocellata,47,2
Raja montagui,72,1
Raja undulata,288,4
Rhincodon typus,208,7
Rhinoptera bonasus,216,6
Rhinoptera brasiliensis,4,1
Rhizoprionodon porosus,2,1
Rhizoprionodon taylori,48,2
Rhizoprionodon terraenovae,59,3
Rhynchobatus australiae,6,1
Rhynchobatus spp,20,1
Rostroraja alba,33,2
Scyliorhinus canicula,50,3
Scyliorhinus stellaris,1,1
Somniosus microcephalus,295,5
Sphyrna corona,27,1
Sphyrna lewini,197,12
Sphyrna mokarran,159,8
Sphyrna tiburo,115,5
Sphyrna zygaena,35,2
Squalus acanthias,94,2
Squalus suckleyi,17,1
Squatina squatina,104,1
Stegostoma fasciatum,15,1
Tetronarce occidentalis,1,1
Triaenodon obesus,95,10
Triakis megalopterus,25,1
Triakis semifasciata,111,7
Trygonorrhina fasciata,9,1
Urobatis halleri,35,2
Urogymnus asperrimus,44,3
Urogymnus dalyensis,6,1
Urogymnus granulatus,55,3
Urogymnus polylepis,23,2
